usuario,ip,horario,resultado
dave,10.0.0.91,2025-05-26 01:06:33,Suspeito
carol,192.168.0.30,2025-05-26 01:49:31,Normal
bob,10.0.0.247,2025-05-26 13:53:50,Tentativa de Invasão
carol,10.0.0.225,2025-05-26 15:57:04,Normal
carol,192.168.0.204,2025-05-25 22:22:54,Tentativa de Invasão
alice,172.16.0.59,2025-05-26 09:10:14,Suspeito
dave,10.0.0.180,2025-05-26 12:10:49,Normal
carol,10.0.0.4,2025-05-26 02:02:47,Normal
bob,192.168.0.196,2025-05-26 00:51:13,Suspeito
dave,192.168.0.195,2025-05-26 16:39:10,Normal
carol,192.168.0.89,2025-05-26 15:48:51,Tentativa de Invasão
dave,172.16.0.142,2025-05-26 00:05:19,Credencial Inválida
alice,192.168.0.83,2025-05-26 04:10:07,Credencial Inválida
carol,192.168.0.60,2025-05-26 17:44:48,Credencial Inválida
carol,10.0.0.128,2025-05-26 06:31:56,Credencial Inválida
alice,192.168.0.3,2025-05-26 08:44:56,Credencial Inválida
carol,172.16.0.18,2025-05-26 07:03:15,Credencial Inválida
dave,10.0.0.89,2025-05-26 10:37:43,Suspeito
bob,192.168.0.14,2025-05-26 05:13:45,Suspeito
dave,10.0.0.93,2025-05-26 11:22:33,Credencial Inválida
alice,192.168.0.182,2025-05-26 13:55:24,Credencial Inválida
bob,192.168.0.25,2025-05-26 13:37:22,Credencial Inválida
carol,10.0.0.175,2025-05-25 22:03:39,Normal
carol,192.168.0.190,2025-05-26 01:42:25,Tentativa de Invasão
bob,192.168.0.76,2025-05-25 23:00:40,Normal
carol,192.168.0.34,2025-05-26 17:31:53,Suspeito
carol,192.168.0.35,2025-05-26 07:46:49,Normal
alice,192.168.0.100,2025-05-26 03:36:20,Credencial Inválida
bob,172.16.0.27,2025-05-25 22:32:40,Normal
bob,172.16.0.202,2025-05-26 09:11:25,Normal
carol,192.168.0.61,2025-05-26 13:42:12,Credencial Inválida
dave,172.16.0.133,2025-05-26 15:01:00,Normal
alice,172.16.0.173,2025-05-26 08:29:21,Credencial Inválida
bob,10.0.0.197,2025-05-26 14:22:38,Suspeito
carol,172.16.0.227,2025-05-26 08:04:36,Suspeito
alice,192.168.0.214,2025-05-26 11:19:47,Suspeito
bob,172.16.0.70,2025-05-26 08:08:23,Suspeito
alice,10.0.0.156,2025-05-25 23:49:53,Normal
bob,192.168.0.99,2025-05-26 15:40:53,Suspeito
alice,192.168.0.132,2025-05-26 18:50:28,Tentativa de Invasão
bob,172.16.0.241,2025-05-26 18:53:34,Suspeito
alice,192.168.0.153,2025-05-25 23:10:59,Normal
carol,10.0.0.42,2025-05-26 15:54:04,Tentativa de Invasão
dave,192.168.0.166,2025-05-26 16:32:03,Credencial Inválida
bob,192.168.0.178,2025-05-26 10:57:28,Suspeito
dave,172.16.0.30,2025-05-26 03:57:31,Normal
alice,10.0.0.124,2025-05-25 23:25:33,Suspeito
dave,172.16.0.123,2025-05-25 20:26:05,Credencial Inválida
carol,172.16.0.162,2025-05-26 17:53:30,Credencial Inválida
dave,172.16.0.7,2025-05-26 00:18:40,Tentativa de Invasão
dave,172.16.0.43,2025-05-26 15:46:23,Normal
carol,10.0.0.247,2025-05-26 02:07:36,Suspeito
alice,172.16.0.219,2025-05-26 09:29:34,Normal
carol,10.0.0.193,2025-05-26 00:28:29,Credencial Inválida
carol,10.0.0.59,2025-05-26 12:22:58,Normal
bob,10.0.0.210,2025-05-25 20:58:02,Normal
dave,10.0.0.211,2025-05-26 10:11:37,Normal
alice,192.168.0.27,2025-05-25 21:36:30,Suspeito
alice,172.16.0.196,2025-05-26 12:26:43,Suspeito
carol,172.16.0.123,2025-05-26 19:07:19,Normal
dave,192.168.0.219,2025-05-26 14:54:45,Normal
bob,10.0.0.111,2025-05-26 00:29:18,Credencial Inválida
alice,192.168.0.11,2025-05-26 07:26:54,Suspeito
bob,10.0.0.24,2025-05-26 01:39:36,Suspeito
alice,10.0.0.249,2025-05-26 16:15:55,Suspeito
alice,10.0.0.203,2025-05-26 06:58:51,Tentativa de Invasão
dave,192.168.0.184,2025-05-26 12:14:55,Credencial Inválida
alice,192.168.0.130,2025-05-26 03:07:06,Credencial Inválida
dave,192.168.0.102,2025-05-26 09:23:37,Credencial Inválida
dave,10.0.0.89,2025-05-25 22:11:43,Credencial Inválida
bob,10.0.0.233,2025-05-26 09:10:35,Credencial Inválida
bob,10.0.0.106,2025-05-26 01:56:45,Normal
carol,192.168.0.157,2025-05-26 08:59:38,Normal
carol,192.168.0.63,2025-05-26 04:41:01,Suspeito
dave,192.168.0.204,2025-05-25 22:01:46,Normal
carol,172.16.0.184,2025-05-25 22:44:48,Suspeito
alice,172.16.0.92,2025-05-26 11:16:28,Suspeito
bob,192.168.0.97,2025-05-25 21:04:02,Normal
dave,192.168.0.38,2025-05-26 03:18:20,Suspeito
carol,10.0.0.97,2025-05-26 15:25:20,Suspeito
bob,192.168.0.205,2025-05-26 02:22:29,Tentativa de Invasão
alice,192.168.0.76,2025-05-26 11:39:16,Normal
dave,172.16.0.48,2025-05-26 13:48:29,Credencial Inválida
carol,10.0.0.224,2025-05-26 02:36:56,Credencial Inválida
carol,10.0.0.19,2025-05-26 13:54:15,Credencial Inválida
carol,172.16.0.234,2025-05-26 01:21:49,Normal
dave,10.0.0.11,2025-05-26 10:22:49,Tentativa de Invasão
bob,172.16.0.246,2025-05-26 17:34:52,Normal
bob,172.16.0.6,2025-05-25 21:44:17,Suspeito
bob,10.0.0.104,2025-05-25 23:26:13,Normal
dave,192.168.0.223,2025-05-26 18:50:27,Normal
dave,10.0.0.49,2025-05-26 16:44:55,Suspeito
bob,192.168.0.156,2025-05-25 22:27:06,Suspeito
carol,10.0.0.135,2025-05-26 09:59:05,Normal
bob,192.168.0.70,2025-05-26 13:19:16,Credencial Inválida
bob,192.168.0.81,2025-05-25 20:18:46,Normal
carol,10.0.0.234,2025-05-26 03:27:51,Normal
dave,192.168.0.139,2025-05-26 13:22:34,Normal
carol,172.16.0.214,2025-05-26 17:41:26,Normal
dave,192.168.0.77,2025-05-26 02:01:21,Normal
bob,172.16.0.223,2025-05-26 17:23:52,Normal
alice,192.168.0.207,2025-05-26 07:41:11,Suspeito
carol,10.0.0.145,2025-05-26 07:22:23,Credencial Inválida
bob,10.0.0.57,2025-05-25 21:18:59,Normal
carol,10.0.0.100,2025-05-26 15:19:48,Tentativa de Invasão
dave,10.0.0.113,2025-05-25 19:32:34,Suspeito
alice,192.168.0.75,2025-05-26 06:11:36,Tentativa de Invasão
dave,172.16.0.61,2025-05-26 17:13:15,Normal
carol,172.16.0.217,2025-05-26 14:02:00,Normal
bob,10.0.0.40,2025-05-26 00:44:22,Tentativa de Invasão
bob,192.168.0.146,2025-05-25 19:31:35,Normal
carol,10.0.0.185,2025-05-26 16:29:25,Suspeito
alice,172.16.0.171,2025-05-26 09:14:12,Tentativa de Invasão
alice,192.168.0.164,2025-05-26 08:12:44,Suspeito
carol,192.168.0.7,2025-05-26 08:52:50,Suspeito
dave,172.16.0.227,2025-05-26 17:52:31,Tentativa de Invasão
alice,10.0.0.133,2025-05-26 06:40:34,Normal
bob,192.168.0.156,2025-05-26 07:57:01,Credencial Inválida
alice,10.0.0.86,2025-05-26 12:34:31,Credencial Inválida
bob,10.0.0.79,2025-05-25 19:14:04,Credencial Inválida
dave,172.16.0.76,2025-05-26 13:11:05,Credencial Inválida
carol,172.16.0.93,2025-05-26 08:57:10,Suspeito
bob,192.168.0.127,2025-05-26 09:36:34,Normal
carol,192.168.0.135,2025-05-26 07:29:12,Credencial Inválida
carol,10.0.0.93,2025-05-26 06:02:49,Suspeito
dave,172.16.0.95,2025-05-26 13:03:21,Tentativa de Invasão
dave,172.16.0.245,2025-05-25 23:39:14,Credencial Inválida
alice,192.168.0.196,2025-05-26 02:00:43,Normal
alice,10.0.0.85,2025-05-26 16:38:04,Tentativa de Invasão
alice,10.0.0.110,2025-05-25 19:10:27,Normal
alice,10.0.0.208,2025-05-26 14:49:29,Suspeito
dave,10.0.0.192,2025-05-26 00:00:10,Suspeito
bob,192.168.0.155,2025-05-26 05:03:08,Suspeito
carol,10.0.0.242,2025-05-26 06:15:43,Tentativa de Invasão
dave,10.0.0.157,2025-05-26 19:08:27,Suspeito
dave,172.16.0.95,2025-05-26 14:02:41,Tentativa de Invasão
dave,172.16.0.189,2025-05-25 21:12:32,Normal
bob,192.168.0.29,2025-05-26 17:16:10,Suspeito
alice,172.16.0.80,2025-05-26 02:34:58,Normal
bob,192.168.0.140,2025-05-25 21:39:15,Tentativa de Invasão
carol,192.168.0.59,2025-05-26 07:46:43,Credencial Inválida
alice,192.168.0.155,2025-05-26 02:53:34,Normal
alice,172.16.0.160,2025-05-26 09:50:49,Normal
alice,172.16.0.84,2025-05-26 16:23:22,Credencial Inválida
bob,10.0.0.120,2025-05-26 12:17:26,Normal
alice,172.16.0.194,2025-05-26 13:16:09,Normal
dave,172.16.0.155,2025-05-26 17:59:38,Suspeito
bob,172.16.0.5,2025-05-26 03:23:28,Credencial Inválida
carol,172.16.0.56,2025-05-26 06:14:56,Suspeito
dave,172.16.0.159,2025-05-26 00:35:20,Suspeito
bob,172.16.0.163,2025-05-26 15:46:07,Suspeito
bob,10.0.0.93,2025-05-26 13:45:57,Normal
alice,172.16.0.137,2025-05-26 14:16:35,Suspeito
carol,172.16.0.161,2025-05-26 18:36:51,Normal
dave,10.0.0.140,2025-05-26 18:18:00,Normal
carol,10.0.0.138,2025-05-26 03:01:53,Normal
bob,192.168.0.137,2025-05-25 21:55:55,Tentativa de Invasão
carol,10.0.0.80,2025-05-26 02:07:10,Suspeito
dave,10.0.0.144,2025-05-26 03:10:44,Suspeito
alice,10.0.0.76,2025-05-26 07:33:49,Normal
bob,10.0.0.127,2025-05-26 03:46:47,Suspeito
carol,192.168.0.223,2025-05-26 04:02:21,Credencial Inválida
alice,172.16.0.27,2025-05-26 14:34:42,Credencial Inválida
bob,192.168.0.228,2025-05-26 03:37:55,Suspeito
alice,192.168.0.40,2025-05-25 20:20:58,Normal
dave,172.16.0.59,2025-05-26 14:12:20,Normal
dave,10.0.0.188,2025-05-25 21:11:41,Normal
carol,192.168.0.96,2025-05-26 13:17:48,Suspeito
carol,172.16.0.194,2025-05-25 21:01:19,Suspeito
alice,172.16.0.236,2025-05-26 07:35:40,Normal
bob,172.16.0.197,2025-05-25 22:04:45,Suspeito
carol,172.16.0.165,2025-05-26 12:09:54,Credencial Inválida
dave,172.16.0.79,2025-05-26 08:54:16,Normal
carol,192.168.0.85,2025-05-26 10:46:15,Tentativa de Invasão
carol,10.0.0.116,2025-05-26 00:50:56,Tentativa de Invasão
dave,192.168.0.98,2025-05-25 19:57:37,Normal
carol,192.168.0.71,2025-05-25 21:55:52,Normal
bob,172.16.0.94,2025-05-26 10:39:39,Suspeito
bob,10.0.0.147,2025-05-25 20:11:59,Credencial Inválida
bob,172.16.0.156,2025-05-25 23:24:07,Normal
alice,10.0.0.253,2025-05-26 12:35:06,Normal
alice,192.168.0.253,2025-05-26 06:52:26,Credencial Inválida
bob,172.16.0.17,2025-05-26 15:17:28,Credencial Inválida
bob,192.168.0.42,2025-05-26 00:51:02,Normal
dave,172.16.0.117,2025-05-26 04:51:20,Suspeito
alice,192.168.0.75,2025-05-26 15:13:26,Normal
alice,192.168.0.158,2025-05-26 16:04:03,Tentativa de Invasão
dave,172.16.0.64,2025-05-26 02:40:13,Normal
bob,172.16.0.136,2025-05-25 23:28:16,Tentativa de Invasão
bob,10.0.0.8,2025-05-26 08:28:25,Tentativa de Invasão
carol,10.0.0.181,2025-05-26 03:15:48,Credencial Inválida
bob,10.0.0.176,2025-05-26 08:35:56,Credencial Inválida
alice,172.16.0.253,2025-05-26 14:12:38,Normal
alice,10.0.0.18,2025-05-26 16:21:23,Credencial Inválida
bob,172.16.0.205,2025-05-26 04:14:31,Normal
alice,172.16.0.78,2025-05-26 15:56:16,Normal
dave,10.0.0.114,2025-05-25 19:49:28,Normal
alice,10.0.0.231,2025-05-26 13:15:55,Suspeito
bob,192.168.0.64,2025-05-26 14:09:40,Suspeito
alice,10.0.0.149,2025-05-26 11:58:24,Normal
carol,10.0.0.212,2025-05-25 19:57:33,Credencial Inválida
dave,10.0.0.199,2025-05-26 16:42:27,Normal
bob,192.168.0.139,2025-05-26 03:22:21,Normal
bob,10.0.0.41,2025-05-26 13:59:56,Credencial Inválida
carol,10.0.0.100,2025-05-25 19:07:49,Tentativa de Invasão
carol,10.0.0.125,2025-05-26 05:15:49,Normal
bob,10.0.0.169,2025-05-26 08:58:31,Suspeito
dave,192.168.0.208,2025-05-26 03:45:16,Normal
carol,192.168.0.195,2025-05-26 06:13:58,Normal
bob,172.16.0.80,2025-05-26 00:11:05,Normal
carol,10.0.0.182,2025-05-26 14:53:20,Normal
dave,172.16.0.35,2025-05-26 06:59:56,Normal
carol,192.168.0.17,2025-05-26 11:43:29,Normal
carol,10.0.0.95,2025-05-26 15:56:15,Normal
bob,172.16.0.89,2025-05-25 23:53:59,Normal
dave,10.0.0.208,2025-05-26 12:49:10,Suspeito
bob,192.168.0.145,2025-05-25 20:17:37,Suspeito
dave,10.0.0.229,2025-05-26 12:53:10,Credencial Inválida
carol,172.16.0.24,2025-05-26 11:59:50,Tentativa de Invasão
carol,172.16.0.199,2025-05-26 05:25:53,Normal
bob,10.0.0.202,2025-05-26 11:18:22,Tentativa de Invasão
carol,172.16.0.146,2025-05-25 21:27:42,Credencial Inválida
bob,172.16.0.143,2025-05-26 15:26:13,Tentativa de Invasão
alice,10.0.0.89,2025-05-25 23:24:43,Suspeito
carol,172.16.0.125,2025-05-26 06:18:51,Credencial Inválida
bob,192.168.0.143,2025-05-25 22:09:02,Credencial Inválida
alice,172.16.0.117,2025-05-26 10:34:51,Credencial Inválida
bob,172.16.0.145,2025-05-26 04:45:33,Normal
bob,192.168.0.197,2025-05-26 02:06:18,Suspeito
carol,192.168.0.111,2025-05-26 14:37:18,Normal
carol,192.168.0.224,2025-05-26 04:54:11,Normal
carol,192.168.0.202,2025-05-26 15:57:33,Suspeito
dave,192.168.0.86,2025-05-26 02:56:25,Suspeito
carol,10.0.0.8,2025-05-26 10:17:28,Credencial Inválida
carol,192.168.0.233,2025-05-26 02:11:34,Normal
dave,192.168.0.102,2025-05-25 23:11:43,Credencial Inválida
carol,172.16.0.163,2025-05-26 16:22:47,Tentativa de Invasão
dave,172.16.0.7,2025-05-26 00:10:13,Normal
alice,192.168.0.193,2025-05-26 08:02:02,Tentativa de Invasão
dave,172.16.0.120,2025-05-26 07:31:32,Tentativa de Invasão
alice,172.16.0.24,2025-05-26 16:59:18,Normal
dave,192.168.0.164,2025-05-26 03:34:18,Credencial Inválida
carol,192.168.0.121,2025-05-26 10:10:41,Tentativa de Invasão
bob,10.0.0.197,2025-05-26 07:50:10,Normal
carol,192.168.0.105,2025-05-25 19:22:15,Suspeito
bob,172.16.0.193,2025-05-26 16:38:58,Tentativa de Invasão
alice,172.16.0.66,2025-05-26 18:53:23,Credencial Inválida
alice,192.168.0.194,2025-05-26 02:51:05,Suspeito
alice,192.168.0.153,2025-05-26 06:46:11,Credencial Inválida
bob,192.168.0.38,2025-05-26 01:59:10,Normal
carol,172.16.0.225,2025-05-26 05:01:33,Tentativa de Invasão
alice,192.168.0.232,2025-05-26 02:35:47,Normal
dave,192.168.0.194,2025-05-26 17:36:03,Suspeito
bob,172.16.0.1,2025-05-25 21:34:18,Normal
alice,172.16.0.130,2025-05-26 09:20:26,Normal
alice,192.168.0.210,2025-05-26 15:22:30,Tentativa de Invasão
dave,192.168.0.26,2025-05-26 03:57:02,Credencial Inválida
alice,172.16.0.106,2025-05-26 07:28:20,Normal
bob,192.168.0.103,2025-05-26 14:58:32,Suspeito
carol,192.168.0.33,2025-05-26 14:18:38,Normal
bob,192.168.0.1,2025-05-26 03:56:45,Normal
dave,10.0.0.153,2025-05-26 17:51:47,Tentativa de Invasão
bob,10.0.0.234,2025-05-26 17:07:52,Tentativa de Invasão
bob,192.168.0.158,2025-05-26 09:06:42,Normal
